# factor-levels: seurat_clusters=c1|c2|c3|c4|c5|c6|c7|c8|c9|c10|c11|c12|c13

p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
7.22968811194699e-32	3.14687742617615	0.018	0.004	2.64613814585372e-27	VIPR2	c1
3.71618082573106e-14	2.80693107520799	0.012	0.003	1.36015934402583e-09	CNR2	c1
4.06840962122705e-141	2.71814263733694	0.111	0.029	1.48907860546531e-136	KLRF1	c1
3.68506359417054e-134	2.60007784387251	0.098	0.024	1.34877012610236e-129	TRGV7	c1
2.11918012863143e-59	2.57568895717163	0.058	0.018	7.75641118880391e-55	ASCL2	c1
8.02856224245571e-35	2.50419189387968	0.03	0.008	2.93853406636121e-30	KIF19	c1
1.1357663184775e-18	2.44873754650515	0.018	0.006	4.15701830225952e-14	KIR3DL1	c1
8.2264571013875e-77	2.34782810274584	0.085	0.029	3.01096556367884e-72	CD160	c1
1.38720603924688e-249	2.26026108965262	0.234	0.075	5.07731282424749e-245	TRAV26-1	c1
5.36110486946469e-11	2.25215156032383	0.014	0.005	1.96221799327277e-06	CAPN3	c1
0	2.21723807700668	0.586	0.198	0	GNLY	c1
4.70921801034689e-19	2.21411722268766	0.027	0.01	1.72362088396707e-14	OSBPL5	c1
0	2.20779881415073	0.5	0.191	0	CMC1	c1
0	2.20120088564262	0.333	0.103	0	FGFBP2	c1
6.63404715953209e-105	2.19531451960962	0.106	0.033	2.42812760086034e-100	C1orf21	c1
7.47280959331791e-38	2.18389761982968	0.044	0.015	2.73512303925029e-33	SYNGR1	c1
1.50538179484105e-10	2.1812587361619	0.016	0.007	5.50984790729773e-06	AC243829.1	c1
1.79182329406595e-20	2.16005293479253	0.032	0.013	6.55825243861078e-16	MMP23B	c1
0	2.06681216825773	0.334	0.108	0	TRBV27	c1
4.158238759599e-31	2.06453265568287	0.061	0.028	1.52195696840083e-26	COL6A2	c1
8.58243096514726e-24	2.05727180756003	0.029	0.01	3.14125555755355e-19	LGR6	c1
1.86986346668623e-68	2.02205419267146	0.079	0.027	6.84388727441826e-64	PRSS23	c1
4.65162956788789e-94	2.01740392342186	0.129	0.05	1.70254293814265e-89	S1PR5	c1
1.90545010192096e-12	2.01352431102998	0.026	0.012	6.97413791804092e-08	TMEM171	c1
0	2.00694746215015	0.991	0.464	0	NKG7	c1
1.80043299603778e-138	1.99289061571062	0.186	0.073	6.58976480879789e-134	SPON2	c1
1.17732227975276e-125	1.99133169638327	0.171	0.067	4.30911727612309e-121	FCRL6	c1
3.44185197381461e-85	1.98612314730292	0.108	0.039	1.25975224093589e-80	TRGV9	c1
4.80431944364626e-60	1.95710980080082	0.097	0.04	1.75842895956897e-55	TTC38	c1
0	1.94997807659936	0.554	0.207	0	PLEK	c1
4.39159397927261e-12	1.93426321466337	0.025	0.012	1.60736731235357e-07	AP005482.1	c1
3.7457885627523e-15	1.85550133284488	0.018	0.006	1.37099607185297e-10	EPB41L4A	c1
8.44840840532611e-08	1.85311943282098	0.011	0.004	0.00309220196043341	GPR141	c1
0	1.80671289178003	0.783	0.323	0	GZMH	c1
0	1.79525850722546	0.532	0.252	0	DUSP2	c1
0	1.7766920812915	0.934	0.487	0	CST7	c1
3.85858946795473e-63	1.76786644428889	0.109	0.047	1.41228233116611e-58	FGR	c1
3.09799550231512e-117	1.72865851286151	0.151	0.056	1.13389733380236e-112	CX3CR1	c1
5.13365346512398e-65	1.72278163626881	0.116	0.051	1.87896850477003e-60	XCL2	c1
1.6850026859684e-261	1.64344518313713	0.349	0.146	6.16727833091293e-257	KLRD1	c1
0	1.64037804412824	0.475	0.243	0	KLRG1	c1
1.96625706990863e-10	1.62355995423786	0.019	0.009	7.19669750157256e-06	PDGFD	c1
3.54682428344146e-44	1.6187657677869	0.063	0.024	1.29817315598241e-39	DTHD1	c1
3.428503641267e-18	1.60221473124052	0.092	0.06	1.25486661774013e-13	CD300A	c1
6.88226556763084e-08	1.60140520475291	0.022	0.012	0.00251897802040856	RASGEF1A	c1
9.88084597465974e-24	1.59787555731062	0.049	0.023	3.61648843518521e-19	FCRL3	c1
1.6506341557834e-59	1.58969449078608	0.115	0.052	6.04148607358282e-55	ADGRG1	c1
4.97949387204927e-11	1.58222349516221	0.037	0.021	1.82254455210876e-06	TRGC2	c1
8.86311545953921e-07	1.57440125766954	0.01	0.004	0.0324398888934595	AL158071.3	c1
1.01964561512416e-23	1.57181148069972	0.073	0.04	3.73200491591592e-19	LINC02084	c1
9.51719764453375e-21	1.55280958247885	0.046	0.022	3.4833895098758e-16	ENC1	c1
